id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_6257,"Fuji Miniskirt","mowalola",https://goodproduct.uk/wp-content/uploads/2021/12/mowalola-blue-and-black-fuji-miniskirt.jpeg,https://goodproduct.uk/product/mowalola-fuji-miniskirt-black-blue/,"All, Clothing","Good Product",915GBP,in stock,wc_post_id_6257,https://goodproduct.uk/product/mowalola-fuji-miniskirt-black-blue/,"https://goodproduct.uk/wp-content/uploads/2021/12/mowalola-blue-and-black-efuji-miniskirt.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,915GBP,new,published,,
wc_post_id_6255,"Dropout T-Shirt","mowalola",https://goodproduct.uk/wp-content/uploads/2021/12/mowalola-green-dropout-t-shirt.jpeg,https://goodproduct.uk/product/mowalola-dropout-t-shirt-green/,"All, Clothing","Good Product",200GBP,in stock,wc_post_id_6255,https://goodproduct.uk/product/mowalola-dropout-t-shirt-green/,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,200GBP,new,published,,
wc_post_id_6253,"Diag Lounge Pants","off-white",https://goodproduct.uk/wp-content/uploads/2021/12/off-white-grey-diag-lounge-pants.jpeg,https://goodproduct.uk/product/off-white-diag-lounge-pants-grey/,"All, Clothing","Good Product",555GBP,in stock,wc_post_id_6253,https://goodproduct.uk/product/off-white-diag-lounge-pants-grey/,"https://goodproduct.uk/wp-content/uploads/2021/12/off-white-greye-diag-lounge-pants.jpeg,https://goodproduct.uk/wp-content/uploads/2021/12/off-white-grey-diag-loun3ge-pants.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,555GBP,new,published,,
wc_post_id_6251,"Butterfly Bio Sunglasses","balenciaga",https://goodproduct.uk/wp-content/uploads/2021/12/balenciaga-silver-butterfly-bio-sunglasses.jpeg,https://goodproduct.uk/product/balenciaga-butterfly-bio-sunglasses/,"All, Eyewear","Good Product",350GBP,in stock,wc_post_id_6251,https://goodproduct.uk/product/balenciaga-butterfly-bio-sunglasses/,"https://goodproduct.uk/wp-content/uploads/2021/12/balenciaga-silver-bu3tterfly-bio-sunglasses.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350GBP,new,published,,
wc_post_id_6237,"Air Foamposite One","cdg x nike",https://goodproduct.uk/wp-content/uploads/2021/12/comme-des-garcons-homme-plus-white-nike-edition-air-foamposite-one-sneakers.jpeg,https://goodproduct.uk/product/nike-comme-des-garcons-air-foamposite-one/,"All, Sneakers","Good Product",395GBP,in stock,wc_post_id_6237,https://goodproduct.uk/product/nike-comme-des-garcons-air-foamposite-one/,"https://goodproduct.uk/wp-content/uploads/2021/12/comme-des-garceons-homme-plus-white-nike-edition-air-foamposite-one-sneakers.jpeg,https://goodproduct.uk/wp-content/uploads/2021/12/comme-des-ga22rcons-homme-plus-white-nike-edition-air-foamposite-one-sneakers.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,395GBP,new,published,,
wc_post_id_6219,"Grace Hooded Ski Jacket","shoreditch ski club",https://goodproduct.uk/wp-content/uploads/2021/12/R03771400_BLACK_M.jpeg,https://goodproduct.uk/product/shoreditch-ski-club-grace-hooded-ski-jacket-black/,"All, Clothing","Good Product",955GBP,in stock,wc_post_id_6219,https://goodproduct.uk/product/shoreditch-ski-club-grace-hooded-ski-jacket-black/,"https://goodproduct.uk/wp-content/uploads/2021/12/R03771400_BLACK_ALT02.jpeg,https://goodproduct.uk/wp-content/uploads/2021/12/R03771400_BLACK_ALT03.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,955GBP,new,published,,
wc_post_id_6217,"Eve Quilted Shell Jacket","shoreditch ski club",https://goodproduct.uk/wp-content/uploads/2021/12/R03770093_BLACK_M.jpeg,https://goodproduct.uk/product/shoreditch-ski-club-eve-quilted-shell-jacket/,"All, Clothing","Good Product",370GBP,in stock,wc_post_id_6217,https://goodproduct.uk/product/shoreditch-ski-club-eve-quilted-shell-jacket/,"https://goodproduct.uk/wp-content/uploads/2021/12/R03770093_BLACK_ALT02.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,370GBP,new,published,,
wc_post_id_6213,"Fern Hooded Jacket","Shoreditch Ski Club Cotton-Blend Jacket 
 
  Model is 5ft 10in/1.78m and wears a size small 
  Size small: length 23in / 59cm 
  Dry Clean 
  True to size",https://goodproduct.uk/wp-content/uploads/2021/12/R03870275_SAND_M.jpeg,https://goodproduct.uk/product/shoredtch-ski-club-fern-hooded-jacket-beige/,"All, Clothing","Good Product",440GBP,in stock,wc_post_id_6213,https://goodproduct.uk/product/shoredtch-ski-club-fern-hooded-jacket-beige/,"https://goodproduct.uk/wp-content/uploads/2021/12/R03870275_SAND_ALT02.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,440GBP,new,published,,
wc_post_id_6211,"Willow Puffer Jacket Blue","Shoreditch Ski Club Willow Puffer Padded Recycled Polyamide Jacket 
 
  Model is 5ft 10in/1.78m and wears a size small 
  Size small: length 22in / 55cm 
  100% recycled polyamide; lining 100% polyamide; 100% recycled polyester 
  True to size",https://goodproduct.uk/wp-content/uploads/2021/12/R03770097_BLUE_M.jpeg,https://goodproduct.uk/product/shoreditch-ski-club-willow-puffer-jacket-blue/,"All, Clothing","Good Product",590GBP,in stock,wc_post_id_6211,https://goodproduct.uk/product/shoreditch-ski-club-willow-puffer-jacket-blue/,"https://goodproduct.uk/wp-content/uploads/2021/12/R03770097_BLUE_ALT02.jpeg,https://goodproduct.uk/wp-content/uploads/2021/12/R03770097_BLUE_ALT03.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,590GBP,new,published,,
wc_post_id_6190,"Willow Puffer Jacket","Shoreditch Ski Club Willow Puffer Padded Recycled Polyamide Jacket 
 
  Model is 5ft 10in/1.78m and wears a size small 
  Size small: length 22in / 55cm 
  100% recycled polyamide; lining 100% polyamide; 100% recycled polyester 
  True to size",https://goodproduct.uk/wp-content/uploads/2021/12/R03771397_BLACK_M.jpeg,https://goodproduct.uk/product/shoreditch-ski-club-willow-puffer-jacket-black/,"All, Clothing","Good Product",595GBP,in stock,wc_post_id_6190,https://goodproduct.uk/product/shoreditch-ski-club-willow-puffer-jacket-black/,"https://goodproduct.uk/wp-content/uploads/2021/12/R03771397_BLACK_ALT02.jpeg,https://goodproduct.uk/wp-content/uploads/2021/12/R03771397_BLACK_ALT01.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,595GBP,new,published,,
